Cuenta,Tipo de gasto,Gasto
601-0002-0000,IVA Gastos de Operacion,"1,039,019.09"
601-0003-0000,Diesel,"6,652,077.02"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,0
601-0007-0000,Capacitacion Operadores,"10,500.00"
601-0012-0000,Administracion de vehiculos y neumaticos ,0
601-0014-0000,Tarjeta Inteligente Mifare 4K,0
601-0001-0000,Sueldos y Salarios Operativo,"5,978,676.10"
601-0002-0000,IVA Gastos de Operacion,"1,009,975.41"
601-0003-0000,Diesel,"6,406,572.87"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,0
601-0007-0000,Capacitacion Operadores,"17,250.00"
601-0010-0000,Radio celular en Unidades,"49,377.80"
601-0012-0000,Administracion de vehiculos y neumaticos ,0
601-0014-0000,Tarjeta Inteligente Mifare 4K,0
601-0001-0000,Sueldos y Salarios Operativo,"6,106,970.46"
601-0002-0000,IVA Gastos de Operacion,"894,936.51"
601-0003-0000,Diesel,"5,716,985.64"
601-0004-0000,Maniobras y Pensiones,452
601-0005-0000,Refrendos Licencias y Permisos,0
601-0007-0000,Capacitacion Operadores,"6,000.00"
601-0010-0000,Radio celular en Unidades,0
601-0012-0000,Administracion de vehiculos y neumaticos ,0
601-0014-0000,Tarjeta Inteligente Mifare 4K,0
601-0001-0000,Sueldos y Salarios Operativo,"7,398,211.48"
601-0002-0000,IVA Gastos de Operacion,"1,097,418.44"
601-0003-0000,Diesel,"7,012,842.52"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,0
601-0007-0000,Capacitacion Operadores,"13,500.00"
601-0010-0000,Radio celular en Unidades,0
601-0012-0000,Administracion de vehiculos y neumaticos ,0
601-0014-0000,Tarjeta Inteligente Mifare 4K,0
