Cuenta,Tipo de gasto,Gasto
603-0001-0000,Sueldos y Salarios Administrativos,"326,332.67"
603-0002-0000,IVA Gastos de Adminstracion,"394,422.36"
603-0003-0000,Impuestos,"686,071.08"
603-0004-0000,Depreciaciones y Amortizaciones,"1,648,662.27"
603-0005-0000,Gastos de Oficina,"141,832.38"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,588,800.00"
603-0007-0000,Propaganda y Publicidad,"246,656.01"
603-0008-0000,Honorarios,"162,993.99"
603-0009-0000,Gastos Departamentos Varios,"21,448.92"
603-0010-0000,Mantenimientos Generales,"30,054.94"
603-0011-0000,Eventos,"7,294.89"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"19,381.49"
603-0014-0000,Gasolina,"13,776.88"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,743.64"
603-0020-0000,Siniestros (ND),"524,780.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,851,745.32"
603-0001-0000,Sueldos y Salarios Administrativos,"326,786.26"
603-0002-0000,IVA Gastos de Adminstracion,"485,183.45"
603-0003-0000,Impuestos,"1,758,874.24"
603-0004-0000,Depreciaciones y Amortizaciones,"1,622,615.05"
603-0005-0000,Gastos de Oficina,"160,287.74"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,294,400.00"
603-0007-0000,Propaganda y Publicidad,"246,656.01"
603-0008-0000,Honorarios,"645,200.50"
603-0009-0000,Gastos Departamentos Varios,"60,870.67"
603-0010-0000,Mantenimientos Generales,"15,960.85"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"88,370.69"
603-0013-0000,No Deducibles,"254,993.48"
603-0014-0000,Gasolina,"23,442.96"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,697.47"
603-0020-0000,Siniestros (ND),"908,288.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,504,603.35"
603-0001-0000,Sueldos y Salarios Administrativos,"347,632.03"
603-0002-0000,IVA Gastos de Adminstracion,"541,919.69"
603-0003-0000,Impuestos,"676,599.90"
603-0004-0000,Depreciaciones y Amortizaciones,"1,622,615.05"
603-0005-0000,Gastos de Oficina,"158,868.50"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,294,460.00"
603-0007-0000,Propaganda y Publicidad,"130,000.00"
603-0008-0000,Honorarios,"628,601.20"
603-0009-0000,Gastos Departamentos Varios,"47,852.92"
603-0010-0000,Mantenimientos Generales,"13,722.65"
603-0011-0000,Eventos,"7,243.79"
603-0012-0000,Seguros,"666,712.54"
603-0013-0000,No Deducibles,"4,966.18"
603-0014-0000,Gasolina,"18,448.92"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,796.07"
603-0020-0000,Siniestros (ND),"441,448.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,906,963.50"
603-0001-0000,Sueldos y Salarios Administrativos,"367,442.92"
603-0002-0000,IVA Gastos de Adminstracion,"427,372.03"
603-0003-0000,Impuestos,"1,781,046.86"
603-0004-0000,Depreciaciones y Amortizaciones,"1,590,755.53"
603-0005-0000,Gastos de Oficina,"179,288.82"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,591,520.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"132,753.20"
603-0009-0000,Gastos Departamentos Varios,"9,385.13"
603-0010-0000,Mantenimientos Generales,"43,593.39"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"71,236.96"
603-0014-0000,Gasolina,"16,077.41"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,"1,740.00"
603-0019-0000,Comision por dispersion de vales de despensa,"4,866.80"
603-0020-0000,Siniestros (ND),"705,217.93"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,231,330.91"
603-0001-0000,Sueldos y Salarios Administrativos,"410,780.34"
603-0002-0000,IVA Gastos de Adminstracion,"363,406.04"
603-0003-0000,Impuestos,"701,659.39"
603-0004-0000,Depreciaciones y Amortizaciones,"1,590,755.53"
603-0005-0000,Gastos de Oficina,"155,025.22"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,291,760.00"
603-0007-0000,Propaganda y Publicidad,"77,235.34"
603-0008-0000,Honorarios,"158,484.33"
603-0009-0000,Gastos Departamentos Varios,"33,461.14"
603-0010-0000,Mantenimientos Generales,"20,187.71"
603-0011-0000,Eventos,"7,000.00"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"35,275.31"
603-0014-0000,Gasolina,"20,749.69"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,015.31"
603-0020-0000,Siniestros (ND),"440,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,809,804.15"
603-0001-0000,Sueldos y Salarios Administrativos,"585,409.01"
603-0002-0000,IVA Gastos de Adminstracion,"456,694.29"
603-0003-0000,Impuestos,"1,888,975.23"
603-0004-0000,Depreciaciones y Amortizaciones,"1,590,755.53"
603-0005-0000,Gastos de Oficina,"124,013.36"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,644,800.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"75,190.65"
603-0009-0000,Gastos Departamentos Varios,"29,042.00"
603-0010-0000,Mantenimientos Generales,"57,954.89"
603-0011-0000,Eventos,"106,348.00"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"619,896.69"
603-0014-0000,Gasolina,"17,767.12"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"4,960.80"
603-0020-0000,Siniestros (ND),"600,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,368,628.16"
603-0100-0000,PTU por Repartir,"2,612,831.68"
603-0001-0000,Sueldos y Salarios Administrativos,"371,793.93"
603-0002-0000,IVA Gastos de Adminstracion,"330,762.04"
603-0003-0000,Impuestos,"763,409.00"
603-0004-0000,Depreciaciones y Amortizaciones,"1,582,950.12"
603-0005-0000,Gastos de Oficina,"173,168.41"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,294,840.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"189,510.13"
603-0009-0000,Gastos Departamentos Varios,"34,205.95"
603-0010-0000,Mantenimientos Generales,"16,063.38"
603-0011-0000,Eventos,"17,350.00"
603-0013-0000,No Deducibles,"109,289.00"
603-0014-0000,Gasolina,"14,429.65"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"50,314.66"
603-0018-0000,Convenio Laboral (ND),"48,333.00"
603-0019-0000,Comision por dispersion de vales de despensa,"4,820.61"
603-0020-0000,Siniestros (ND),"537,025.50"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,600,944.18"
603-0001-0000,Sueldos y Salarios Administrativos,"577,784.75"
603-0002-0000,IVA Gastos de Adminstracion,"358,643.84"
603-0003-0000,Impuestos,"1,698,408.18"
603-0004-0000,Depreciaciones y Amortizaciones,"1,587,688.12"
603-0005-0000,Gastos de Oficina,"142,403.80"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,978,783.03"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"97,841.98"
603-0009-0000,Gastos Departamentos Varios,"6,717.00"
603-0010-0000,Mantenimientos Generales,"27,923.99"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"51,685.51"
603-0013-0000,No Deducibles,"54,283.57"
603-0014-0000,Gasolina,"24,155.63"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,"2,818.00"
603-0018-0000,Convenio Laboral (ND),"183,333.33"
603-0019-0000,Comision por dispersion de vales de despensa,"4,911.31"
603-0020-0000,Siniestros (ND),"595,612.50"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,810,530.33"
603-0001-0000,Sueldos y Salarios Administrativos,"394,498.44"
603-0002-0000,IVA Gastos de Adminstracion,"530,774.10"
603-0003-0000,Impuestos,"1,732,495.58"
603-0004-0000,Depreciaciones y Amortizaciones,"1,584,414.54"
603-0005-0000,Gastos de Oficina,"192,404.41"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,286,260.00"
603-0007-0000,Propaganda y Publicidad,"445,980.00"
603-0008-0000,Honorarios,"114,354.92"
603-0009-0000,Gastos Departamentos Varios,"119,482.68"
603-0010-0000,Mantenimientos Generales,"120,902.63"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"119,027.15"
603-0014-0000,Gasolina,"18,930.26"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),"183,333.33"
603-0019-0000,Comision por dispersion de vales de despensa,"5,032.76"
603-0020-0000,Siniestros (ND),"340,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,426,245.69"
603-0001-0000,Sueldos y Salarios Administrativos,"487,694.29"
603-0002-0000,IVA Gastos de Adminstracion,"353,216.43"
603-0003-0000,Impuestos,"890,662.28"
603-0004-0000,Depreciaciones y Amortizaciones,"1,584,504.84"
603-0005-0000,Gastos de Oficina,"146,095.17"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,594,720.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"209,965.28"
603-0009-0000,Gastos Departamentos Varios,"15,086.45"
603-0010-0000,Mantenimientos Generales,"20,063.95"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"172,624.75"
603-0014-0000,Gasolina,"16,941.56"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),"50,000.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,130.94"
603-0020-0000,Siniestros (ND),"513,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,710,001.14"
603-0023-0000,Facilidades Administrativas,"4,056.00"
603-0001-0000,Sueldos y Salarios Administrativos,"459,889.23"
603-0002-0000,IVA Gastos de Adminstracion,"499,267.53"
603-0003-0000,Impuestos,"1,348,345.48"
603-0004-0000,Depreciaciones y Amortizaciones,"1,586,035.35"
603-0005-0000,Gastos de Oficina,"177,312.35"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,295,400.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"251,228.32"
603-0009-0000,Gastos Departamentos Varios,"18,897.00"
603-0010-0000,Mantenimientos Generales,"64,241.84"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"20,722.87"
603-0014-0000,Gasolina,"24,605.63"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,172.55"
603-0020-0000,Siniestros (ND),"667,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,916,676.30"
603-0023-0000,Facilidades Administrativas,"49,757.00"
603-0001-0000,Sueldos y Salarios Administrativos,"460,029.18"
603-0002-0000,IVA Gastos de Adminstracion,"347,596.70"
603-0003-0000,Impuestos,"1,358,052.14"
603-0004-0000,Depreciaciones y Amortizaciones,"1,586,143.50"
603-0005-0000,Gastos de Oficina,"220,570.71"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,279,260.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"78,615.58"
603-0009-0000,Gastos Departamentos Varios,"50,597.00"
603-0010-0000,Mantenimientos Generales,"55,305.16"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"110,194.68"
603-0014-0000,Gasolina,"21,201.39"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,175.87"
603-0020-0000,Siniestros (ND),"350,180.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,762,455.39"
603-0023-0000,Facilidades Administrativas,"117,273.00"
603-0001-0000,Sueldos y Salarios Administrativos,"478,540.27"
603-0002-0000,IVA Gastos de Adminstracion,"384,898.10"
603-0003-0000,Impuestos,"1,384,714.86"
603-0004-0000,Depreciaciones y Amortizaciones,"1,584,956.09"
603-0005-0000,Gastos de Oficina,"220,766.63"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,591,020.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"333,468.11"
603-0009-0000,Gastos Departamentos Varios,"10,777.00"
603-0010-0000,Mantenimientos Generales,"39,413.56"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"2,192.64"
603-0014-0000,Gasolina,"28,556.96"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,"14,576.00"
603-0018-0000,Convenio Laboral (ND),"99,999.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,172.96"
603-0020-0000,Siniestros (ND),"1,204,500.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,869,234.91"
603-0023-0000,Facilidades Administrativas,"140,043.00"
603-0001-0000,Sueldos y Salarios Administrativos,"558,759.31"
603-0002-0000,IVA Gastos de Adminstracion,"431,726.29"
603-0003-0000,Impuestos,"1,444,624.69"
603-0004-0000,Depreciaciones y Amortizaciones,"1,585,024.13"
603-0005-0000,Gastos de Oficina,"321,811.13"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,293,520.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"65,108.04"
603-0009-0000,Gastos Departamentos Varios,"3,132.00"
603-0010-0000,Mantenimientos Generales,"42,636.16"
603-0011-0000,Eventos,"1,292.24"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"39,823.48"
603-0014-0000,Gasolina,"13,845.80"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,"2,676.05"
603-0018-0000,Convenio Laboral (ND),"120,000.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,214.56"
603-0020-0000,Siniestros (ND),"275,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,149,852.84"
603-0023-0000,Facilidades Administrativas,"49,433.00"
603-0001-0000,Sueldos y Salarios Administrativos,"742,134.73"
603-0002-0000,IVA Gastos de Adminstracion,"389,863.44"
603-0003-0000,Impuestos,"1,409,092.24"
603-0004-0000,Depreciaciones y Amortizaciones,"1,588,603.08"
603-0005-0000,Gastos de Oficina,"176,347.37"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,595,500.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"104,500.14"
603-0009-0000,Gastos Departamentos Varios,"2,088.00"
603-0010-0000,Mantenimientos Generales,"69,999.84"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"5,945.65"
603-0014-0000,Gasolina,"8,532.70"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),"80,000.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,221.21"
603-0020-0000,Siniestros (ND),"560,200.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,951,535.79"
603-0023-0000,Facilidades Administrativas,"142,908.00"
603-0024-0000,Otros Gastos,"810,635.89"
603-0100-0000,PTU por Repartir,"10,967.19"
603-0001-0000,Sueldos y Salarios Administrativos,"534,015.81"
603-0002-0000,IVA Gastos de Adminstracion,"498,911.79"
603-0003-0000,Impuestos,"1,390,747.41"
603-0004-0000,Depreciaciones y Amortizaciones,"1,591,192.83"
603-0005-0000,Gastos de Oficina,"208,738.73"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,292,640.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"204,877.10"
603-0009-0000,Gastos Departamentos Varios,"28,751.36"
603-0010-0000,Mantenimientos Generales,"38,930.20"
603-0011-0000,Eventos,"21,388.10"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"246,603.96"
603-0014-0000,Gasolina,"20,712.18"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,140.93"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,442,004.83"
603-0023-0000,Facilidades Administrativas,"3,953.00"
603-0024-0000,Otros Gastos,0
603-0100-0000,PTU por Repartir,0
603-0001-0000,Sueldos y Salarios Administrativos,"629,866.94"
603-0002-0000,IVA Gastos de Adminstracion,"410,953.61"
603-0003-0000,Impuestos,"1,466,060.14"
603-0004-0000,Depreciaciones y Amortizaciones,"1,593,295.65"
603-0005-0000,Gastos de Oficina,"610,900.75"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,900,011.86"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"87,593.93"
603-0009-0000,Gastos Departamentos Varios,0
603-0010-0000,Mantenimientos Generales,"66,653.69"
603-0011-0000,Eventos,"139,274.32"
603-0012-0000,Seguros,"189,054.64"
603-0013-0000,No Deducibles,"138,195.69"
603-0014-0000,Gasolina,"16,352.46"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"46,500.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),"-299,999.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,114.72"
603-0020-0000,Siniestros (ND),"325,104.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,080,464.83"
603-0023-0000,Facilidades Administrativas,"99,185.00"
603-0024-0000,Otros Gastos,"10,967.00"
603-0100-0000,PTU por Repartir,"3,084,926.01"
603-0001-0000,Sueldos y Salarios Administrativos,"537,108.38"
603-0002-0000,IVA Gastos de Adminstracion,"492,679.04"
603-0003-0000,Impuestos,"1,444,463.95"
603-0004-0000,Depreciaciones y Amortizaciones,"1,599,278.80"
603-0005-0000,Gastos de Oficina,"207,484.81"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,816,885.95"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"86,063.24"
603-0009-0000,Gastos Departamentos Varios,"25,100.00"
603-0010-0000,Mantenimientos Generales,"53,188.17"
603-0012-0000,Seguros,"26,469.72"
603-0013-0000,No Deducibles,"60,521.47"
603-0014-0000,Gasolina,"14,989.18"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"130,875.00"
603-0018-0000,Convenio Laboral (ND),"50,000.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,233.70"
603-0020-0000,Siniestros (ND),"358,085.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,758,821.07"
603-0023-0000,Facilidades Administrativas,"53,064.00"
603-0001-0000,Sueldos y Salarios Administrativos,"532,692.77"
603-0002-0000,IVA Gastos de Adminstracion,"402,657.87"
603-0003-0000,Impuestos,"1,439,465.53"
603-0004-0000,Depreciaciones y Amortizaciones,"1,619,234.79"
603-0005-0000,Gastos de Oficina,"231,771.17"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,802,013.73"
603-0007-0000,Propaganda y Publicidad,0
603-0008-0000,Honorarios,"76,033.47"
603-0009-0000,Gastos Departamentos Varios,700
603-0010-0000,Mantenimientos Generales,"38,150.61"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"83,318.38"
603-0014-0000,Gasolina,"20,969.40"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0019-0000,Comision por dispersion de vales de despensa,"4,707.45"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,782,279.80"
603-0023-0000,Facilidades Administrativas,"4,084.00"
603-0001-0000,Sueldos y Salarios Administrativos,"731,791.95"
603-0002-0000,IVA Gastos de Adminstracion,"614,296.99"
603-0003-0000,Impuestos,"1,544,880.82"
603-0004-0000,Depreciaciones y Amortizaciones,"1,619,765.33"
603-0005-0000,Gastos de Oficina,"313,916.94"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,881,180.00"
603-0007-0000,Propaganda y Publicidad,"127,560.00"
603-0008-0000,Honorarios,"125,877.00"
603-0009-0000,Gastos Departamentos Varios,"32,679.31"
603-0010-0000,Mantenimientos Generales,"131,335.45"
603-0012-0000,Seguros,"44,842.36"
603-0013-0000,No Deducibles,"20,864.75"
603-0014-0000,Gasolina,"16,367.51"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,297.76"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,959,702.84"
603-0023-0000,Facilidades Administrativas,"3,744.00"
603-0001-0000,Sueldos y Salarios Administrativos,"898,968.10"
603-0002-0000,IVA Gastos de Adminstracion,"359,685.95"
603-0003-0000,Impuestos,"1,568,268.97"
603-0004-0000,Depreciaciones y Amortizaciones,"1,644,091.44"
603-0005-0000,Gastos de Oficina,"206,689.60"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,918,205.76"
603-0007-0000,Propaganda y Publicidad,"68,680.00"
603-0008-0000,Honorarios,"217,195.65"
603-0009-0000,Gastos Departamentos Varios,"56,324.13"
603-0010-0000,Mantenimientos Generales,"43,637.57"
603-0011-0000,Eventos,"18,052.07"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"37,218.69"
603-0014-0000,Gasolina,"18,882.34"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,"1,012.70"
603-0019-0000,Comision por dispersion de vales de despensa,"5,151.74"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,325,579.64"
603-0023-0000,Facilidades Administrativas,"29,859.28"
603-0001-0000,Sueldos y Salarios Administrativos,"531,379.71"
603-0002-0000,IVA Gastos de Adminstracion,"795,247.71"
603-0003-0000,Impuestos,"1,569,879.76"
603-0004-0000,Depreciaciones y Amortizaciones,"1,650,002.05"
603-0005-0000,Gastos de Oficina,"232,832.77"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,510,835.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"266,474.38"
603-0009-0000,Gastos Departamentos Varios,"16,132.00"
603-0010-0000,Mantenimientos Generales,"189,129.53"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"16,024.57"
603-0013-0000,No Deducibles,810.91
603-0014-0000,Gasolina,"13,475.56"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,302.34"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,920,709.79"
603-0023-0000,Facilidades Administrativas,"4,160.00"
603-0001-0000,Sueldos y Salarios Administrativos,"552,957.22"
603-0002-0000,IVA Gastos de Adminstracion,"459,810.18"
603-0003-0000,Impuestos,"1,533,597.91"
603-0004-0000,Depreciaciones y Amortizaciones,"1,679,555.79"
603-0005-0000,Gastos de Oficina,"260,969.94"
603-0006-0000,Cuotas y Suscripciones (Empresas),"3,386,389.98"
603-0007-0000,Propaganda y Publicidad,"72,190.00"
603-0008-0000,Honorarios,"419,872.96"
603-0009-0000,Gastos Departamentos Varios,"16,211.65"
603-0010-0000,Mantenimientos Generales,"128,111.27"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"25,983.20"
603-0014-0000,Gasolina,"17,759.41"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,113.48"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,744,266.12"
603-0023-0000,Facilidades Administrativas,"30,414.06"
603-0001-0000,Sueldos y Salarios Administrativos,"529,936.04"
603-0002-0000,IVA Gastos de Adminstracion,"437,861.36"
603-0003-0000,Impuestos,"1,577,474.65"
603-0004-0000,Depreciaciones y Amortizaciones,"1,684,106.80"
603-0005-0000,Gastos de Oficina,"316,255.48"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,943,076.85"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"397,477.52"
603-0009-0000,Gastos Departamentos Varios,"17,315.52"
603-0010-0000,Mantenimientos Generales,"133,349.09"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"22,121.22"
603-0014-0000,Gasolina,"18,345.22"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,228.29"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,680,864.45"
603-0023-0000,Facilidades Administrativas,"11,491.82"
603-0001-0000,Sueldos y Salarios Administrativos,"575,474.96"
603-0002-0000,IVA Gastos de Adminstracion,"520,202.14"
603-0003-0000,Impuestos,"1,596,882.14"
603-0004-0000,Depreciaciones y Amortizaciones,"1,686,609.77"
603-0005-0000,Gastos de Oficina,"371,869.36"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,057,463.07"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"102,873.96"
603-0009-0000,Gastos Departamentos Varios,"102,507.78"
603-0010-0000,Mantenimientos Generales,"144,714.90"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"54,638.19"
603-0013-0000,No Deducibles,"37,622.68"
603-0014-0000,Gasolina,"23,496.45"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"84,375.00"
603-0017-0000,Uniformes,"7,038.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,240.36"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,925,395.86"
603-0023-0000,Facilidades Administrativas,"73,257.91"
603-0001-0000,Sueldos y Salarios Administrativos,"521,590.73"
603-0002-0000,IVA Gastos de Adminstracion,"400,750.84"
603-0003-0000,Impuestos,"1,571,141.17"
603-0004-0000,Depreciaciones y Amortizaciones,"1,701,953.82"
603-0005-0000,Gastos de Oficina,"314,956.30"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,851,154.64"
603-0007-0000,Propaganda y Publicidad,"63,100.00"
603-0008-0000,Honorarios,"116,853.07"
603-0009-0000,Gastos Departamentos Varios,"77,233.64"
603-0010-0000,Mantenimientos Generales,"119,480.24"
603-0011-0000,Eventos,"30,000.00"
603-0012-0000,Seguros,"119,703.23"
603-0013-0000,No Deducibles,"85,878.67"
603-0014-0000,Gasolina,"17,770.24"
